               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.061198,             0.02839,             0.00972,             0.56966,             0.36194,              0.3952,             0.15449,            0.055753,            0.018113,             0.01461,           0.0097011,           0.0097011,           0.0097011
                  37,            0.061317,            0.029481,           0.0092387,             0.53333,             0.35211,             0.37465,             0.14121,            0.056546,            0.018178,            0.013683,            0.009684,            0.009684,            0.009684
                  38,             0.05994,            0.027889,           0.0095178,              0.4914,             0.34533,              0.3914,             0.15925,            0.054869,            0.016922,            0.015154,           0.0096664,           0.0096664,           0.0096664
                  39,            0.061111,            0.027867,           0.0088001,             0.49949,             0.40304,             0.40567,             0.15252,            0.055228,            0.017388,            0.014657,           0.0096484,           0.0096484,           0.0096484
                  40,            0.058334,            0.027302,           0.0082731,             0.35981,             0.43269,             0.34376,             0.14307,            0.057136,            0.016809,            0.015985,           0.0096299,           0.0096299,           0.0096299
                  41,            0.058639,            0.028646,           0.0079181,              0.5168,             0.45595,             0.45316,             0.16489,              0.0537,            0.017372,            0.016381,            0.009611,            0.009611,            0.009611
                  42,            0.058462,            0.026594,           0.0084205,             0.62631,             0.49496,             0.47392,             0.21307,            0.052522,             0.01619,            0.015042,           0.0095916,           0.0095916,           0.0095916
                  43,            0.057846,            0.027668,           0.0081397,             0.54839,             0.52976,             0.49086,             0.20632,            0.050308,            0.016256,            0.013956,           0.0095717,           0.0095717,           0.0095717
                  44,              0.0589,            0.027392,           0.0072015,              0.5554,             0.44643,             0.46511,             0.18942,            0.052545,            0.016168,            0.014514,           0.0095514,           0.0095514,           0.0095514
                  45,            0.056225,            0.027441,           0.0080132,             0.63667,             0.39652,             0.41472,             0.15882,             0.05358,            0.017505,            0.013652,           0.0095307,           0.0095307,           0.0095307
                  46,            0.056926,            0.027971,           0.0083949,             0.56562,             0.52152,              0.4612,             0.18259,            0.052418,            0.017955,            0.014466,           0.0095095,           0.0095095,           0.0095095
                  47,            0.056944,            0.027456,           0.0080952,             0.62586,             0.43773,             0.46849,             0.18556,            0.055085,            0.015689,            0.013978,           0.0094879,           0.0094879,           0.0094879
                  48,            0.057555,            0.027747,           0.0066456,             0.62525,             0.55901,             0.56129,             0.24639,            0.051638,            0.015755,            0.012816,           0.0094659,           0.0094659,           0.0094659
                  49,            0.057098,            0.027244,           0.0067096,             0.62373,             0.43864,             0.47415,              0.2211,            0.054865,               0.016,            0.013453,           0.0094434,           0.0094434,           0.0094434
                  50,            0.054867,            0.025665,           0.0083444,             0.50945,             0.38591,             0.42323,             0.18568,            0.051684,            0.017005,            0.012655,           0.0094205,           0.0094205,           0.0094205
                  51,            0.055194,            0.026558,           0.0082799,             0.85086,             0.47592,             0.55957,             0.23722,            0.051274,            0.016561,            0.010502,           0.0093971,           0.0093971,           0.0093971
                  52,            0.055474,            0.026522,           0.0063415,             0.61549,             0.50756,             0.52483,             0.24512,                0.05,            0.015922,             0.01079,           0.0093733,           0.0093733,           0.0093733
                  53,            0.055291,            0.025615,           0.0069618,             0.77926,             0.41572,             0.53151,             0.22675,            0.050411,            0.017324,            0.010708,           0.0093491,           0.0093491,           0.0093491
                  54,            0.052945,            0.027593,           0.0066629,             0.52363,              0.5265,             0.51607,             0.23135,            0.051902,            0.015675,           0.0093502,           0.0093245,           0.0093245,           0.0093245
                  55,            0.055563,            0.025663,           0.0070892,             0.60523,             0.45713,             0.49785,             0.23244,            0.051324,            0.017098,            0.011709,           0.0092995,           0.0092995,           0.0092995
                  56,             0.05333,            0.027782,           0.0070812,             0.55295,             0.56201,             0.54595,             0.25751,            0.049846,             0.01486,            0.015459,            0.009274,            0.009274,            0.009274
                  57,            0.053531,            0.025712,            0.006914,             0.62896,             0.50685,             0.51784,             0.23547,            0.052699,            0.016632,            0.010913,           0.0092481,           0.0092481,           0.0092481
                  58,            0.053194,            0.027147,           0.0075641,              0.7956,             0.40018,             0.49627,             0.20537,             0.05403,            0.015277,            0.017926,           0.0092219,           0.0092219,           0.0092219
                  59,            0.053941,            0.026356,           0.0071387,             0.83776,             0.41383,              0.5201,             0.24907,            0.050835,            0.015929,            0.012132,           0.0091952,           0.0091952,           0.0091952
                  60,            0.053091,            0.026151,           0.0068457,             0.62972,             0.53101,             0.54413,             0.28486,            0.049353,            0.017032,           0.0086958,           0.0091681,           0.0091681,           0.0091681
